SNR,MCS,PRBs,TBS,m_type,predicted_dec_time,dec_time,p_err
13,4,125,23040,GPU,60.719635009765625,53.76664,12.931801224264008
13,4,250,46104,CPU,487.18756103515625,467.95854,4.109129205154846
13,4,250,46104,CPU,487.18756103515625,460.79854,5.726802223626023
13,4,250,46104,CPU,487.18756103515625,443.81654,9.772285871805561
13,4,250,46104,CPU,487.18756103515625,439.79154,10.77692877747404
13,4,250,46104,CPU,487.18756103515625,440.08654,10.702672486905925
13,4,250,46104,CPU,487.18756103515625,437.85954,11.265718005174962
13,4,250,46104,CPU,487.18756103515625,437.69354,11.307916729855384
13,4,250,46104,CPU,487.18756103515625,443.60254,9.825241540581864
13,4,250,46104,CPU,487.18756103515625,435.76754,11.799874087720314
13,4,250,46104,GPU,78.69198608398438,65.23154,20.634873994979085
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
13,4,250,46104,GPU,78.69198608398438,66.25554,18.770424456557716
15,5,75,17424,CPU,222.04049682617188,208.35299,6.569383442095969
15,5,75,17424,CPU,222.04049682617188,205.90499,7.836384551035833
15,5,75,17424,CPU,222.04049682617188,207.61599,6.947685882080597
15,5,75,17424,CPU,222.04049682617188,204.08899,8.795921243067488
15,5,75,17424,CPU,222.04049682617188,208.59199,6.447278644866404
15,5,75,17424,CPU,222.04049682617188,213.07599,4.207187692133631
15,5,75,17424,CPU,222.04049682617188,208.96299,6.258288525720217
15,5,75,17424,CPU,222.04049682617188,209.24899,6.113055468593604
15,5,75,17424,CPU,222.04049682617188,204.82199,8.406571397032064
15,5,75,17424,GPU,56.70365905761719,73.50299,-22.855302814732855
15,5,75,17424,GPU,56.70365905761719,72.47899,-21.765384620264175
15,5,75,17424,GPU,56.70365905761719,73.50299,-22.855302814732855
15,5,75,17424,GPU,56.70365905761719,72.47899,-21.765384620264175
15,5,75,17424,GPU,56.70365905761719,73.50299,-22.855302814732855
15,5,75,17424,GPU,56.70365905761719,73.50299,-22.855302814732855
15,5,75,17424,GPU,56.70365905761719,72.47899,-21.765384620264175
15,5,75,17424,GPU,56.70365905761719,73.50299,-22.855302814732855
15,5,75,17424,GPU,56.70365905761719,73.50299,-22.855302814732855
15,5,250,57376,CPU,585.6986083984375,549.64474,6.559485750457204
